id,apiId,model,promptTokens,completionTokens,totalTokens,cost,ip,openaiKeyId,createTime
1066593674,as-r6ifq74xjy,deepseek-r1-250528,19343,3199,22542,0.0771336,36.103.203.2,149014,1765699299000
1066557016,as-dwrq0qdju2,deepseek-r1-250528,1294,2310,3604,0.0252816,36.103.203.2,149014,1765697173000
1066555970,as-u71vxjt0d3,deepseek-r1-250528,2754,1068,3822,0.0168624,36.103.203.2,149014,1765697106000
1066555440,as-d4q4egtj88,deepseek-r1-250528,528,1355,1883,0.0142752,36.103.203.3,149014,1765697070000
1067685420,as-btp2gnf3v9,deepseek-r1-250528,2784,1479,4263,0.02088,36.103.203.3,149014,1765730011000
1067683372,as-mwpkbatyn8,deepseek-r1-250528,473,1401,1874,0.0145848,36.103.203.3,149014,1765729976000
1067683295,as-z7a8kbypg0,deepseek-r1-250528,473,1355,1828,0.0141432,36.103.203.3,149014,1765729975000
1067681345,as-pp2bt60y8j,deepseek-r1-250528,107,414,521,0.0042312,36.103.203.3,149014,1765729941000
1067680752,as-434zv2fv3w,deepseek-r1-250528,474,1576,2050,0.0162672,36.103.203.2,149014,1765729930000
1067678547,as-bwnp3zers3,deepseek-r1-250528,108,453,561,0.004608,36.103.203.3,149014,1765729893000
1067677820,as-cyw6ucis8x,deepseek-r1-250528,489,1044,1533,0.011196,36.103.203.2,149014,1765729881000
1067676369,as-5kz5vr6ng1,deepseek-r1-250528,106,796,902,0.007896,36.103.203.2,149014,1765729855000
1067675179,as-vmh8qr91g2,deepseek-r1-250528,486,3927,4413,0.0388656,36.103.203.2,149014,1765729835000
1067669380,as-bn5tmbzfty,deepseek-r1-250528,120,1408,1528,0.0138048,36.103.203.2,149014,1765729744000
1067667054,as-7uxdp3xpnz,deepseek-r1-250528,491,760,1251,0.0084744,36.103.203.3,149014,1765729711000
1067665953,as-fv8mr4fsau,deepseek-r1-250528,113,336,449,0.0034968,36.103.203.3,149014,1765729692000
1067665374,as-tcse3350nd,deepseek-r1-250528,510,1379,1889,0.0144624,36.103.203.2,149014,1765729683000
1067663088,as-j6uvkjb2gk,deepseek-r1-250528,132,373,505,0.0038976,36.103.203.3,149014,1765729650000
1067662320,as-bapfkbvber,deepseek-r1-250528,504,2474,2978,0.02496,36.103.203.3,149014,1765729640000
1067657424,as-3vc0duicbs,deepseek-r1-250528,124,956,1080,0.0094752,36.103.203.3,149014,1765729579000
1067655749,as-dheb9k7ueb,deepseek-r1-250528,60736,2294,63030,0.1677888,36.103.203.3,149014,1765729556000
1067459150,as-jpgt51t6ar,deepseek-r1-250528,1322,1446,2768,0.0170544,36.103.203.2,149014,1765726514000
1067457081,as-xg6vnpsy9e,deepseek-r1-250528,2764,5956,8720,0.0638112,36.103.203.2,149014,1765726479000
1067448842,as-69qbi5h79m,deepseek-r1-250528,491,1908,2399,0.0194952,36.103.203.2,149014,1765726342000
1067445524,as-arkm2jrgeq,deepseek-r1-250528,111,2488,2599,0.0241512,36.103.203.3,149014,1765726296000
1067441644,as-u3q4i0sxh3,deepseek-r1-250528,513,1262,1775,0.0133464,36.103.203.2,149014,1765726237000
1067439927,as-8i8kcxkqug,deepseek-r1-250528,134,387,521,0.0040368,36.103.203.3,149014,1765726206000
1067439424,as-pg174cdacr,deepseek-r1-250528,483,1257,1740,0.0132264,36.103.203.2,149014,1765726196000
1067437500,as-akwge6b8mh,deepseek-r1-250528,105,270,375,0.002844,36.103.203.3,149014,1765726165000
1067436980,as-qwpqv9uiub,deepseek-r1-250528,519,2892,3411,0.0290088,36.103.203.2,149014,1765726157000
1067434076,as-9dry5zfcnj,deepseek-r1-250528,519,2514,3033,0.02538,36.103.203.2,149014,1765726104000
1067431204,as-r31cp7revx,deepseek-r1-250528,141,436,577,0.004524,36.103.203.2,149014,1765726043000
1067430658,as-97bimwgxgd,deepseek-r1-250528,487,1055,1542,0.0112968,36.103.203.3,149014,1765726031000
1067429526,as-rba7vhmtpz,deepseek-r1-250528,109,330,439,0.0034296,36.103.203.2,149014,1765726004000
1067429138,as-xi55emvzg9,deepseek-r1-250528,475,1067,1542,0.0113832,36.103.203.2,149014,1765725995000
1067427613,as-zw923904a6,deepseek-r1-250528,109,856,965,0.0084792,36.103.203.2,149014,1765725968000
1067426509,as-jq70bxrcwh,deepseek-r1-250528,510,1587,2097,0.0164592,36.103.203.3,149014,1765725946000
1067421541,as-yj13p4a6bh,deepseek-r1-250528,131,541,672,0.005508,36.103.203.2,149014,1765725855000
1067420729,as-gtcsdg6rpv,deepseek-r1-250528,27278,2217,29495,0.0867504,36.103.203.3,149014,1765725840000
1067304596,as-9wbhafmja6,deepseek-r1-250528,1303,3564,4867,0.0373416,36.103.203.2,149014,1765722639000
1067301644,as-fac6gzqyde,deepseek-r1-250528,2769,2835,5604,0.0338616,36.103.203.2,149014,1765722555000
1067259175,as-sabrnnfa8i,deepseek-r1-250528,516,1810,2326,0.0186144,36.103.203.2,149014,1765721370000
1067258089,as-zw7sxa8q1b,deepseek-r1-250528,150,458,608,0.0047568,36.103.203.2,149014,1765721326000
1067257786,as-jx5jsxrtx4,deepseek-r1-250528,515,1778,2293,0.0183048,36.103.203.2,149014,1765721314000
1067256692,as-wats7a3fvi,deepseek-r1-250528,134,1369,1503,0.013464,36.103.203.3,149014,1765721270000
1067255850,as-eiq8bcs9ek,deepseek-r1-250528,534,1527,2061,0.0159408,36.103.203.3,149014,1765721238000
1067254738,as-2ay2ai1pib,deepseek-r1-250528,156,466,622,0.004848,36.103.203.3,149014,1765721201000
1067254481,as-d3kueedjft,deepseek-r1-250528,22496,1848,24344,0.0717312,36.103.203.2,149014,1765721188000
1067173971,as-rcmxfprg0a,deepseek-r1-250528,1334,1542,2876,0.0180048,36.103.203.2,149014,1765718416000
1067173040,as-qfv9bpnxtp,deepseek-r1-250528,2769,1896,4665,0.0248472,36.103.203.2,149014,1765718371000
1067171782,as-ca3eygk4dk,deepseek-r1-250528,539,1963,2502,0.0201384,36.103.203.3,149014,1765718325000
